train_template,test_template,same_template,acc,bacc
raw,raw,True,1.0,1.0
raw,natural,False,0.9275,0.9347
raw,conjoined,False,0.4203,0.5556
raw,eq1_only,False,0.3478,0.5
raw,eq2_only,False,0.3913,0.5333
raw,formal_query,False,0.6957,0.5625
raw,countermodel,False,0.6667,0.5208
raw,countermodel2,False,0.7971,0.825
raw,separate,False,,
natural,raw,False,0.7391,0.8
natural,natural,True,1.0,1.0
natural,conjoined,False,0.3478,0.5
natural,eq1_only,False,0.3478,0.5
natural,eq2_only,False,0.3768,0.5125
natural,formal_query,False,0.7826,0.7167
natural,countermodel,False,0.6522,0.5
natural,countermodel2,False,0.7391,0.625
natural,separate,False,,
conjoined,raw,False,0.6667,0.5208
conjoined,natural,False,0.6957,0.5625
conjoined,conjoined,True,1.0,1.0
conjoined,eq1_only,False,0.4348,0.5569
conjoined,eq2_only,False,0.4638,0.5792
conjoined,formal_query,False,0.6522,0.5
conjoined,countermodel,False,0.6522,0.5
conjoined,countermodel2,False,0.7246,0.6042
conjoined,separate,False,,
eq1_only,raw,False,0.6957,0.6014
eq1_only,natural,False,0.7101,0.6028
eq1_only,conjoined,False,0.6812,0.5514
eq1_only,eq1_only,True,1.0,1.0
eq1_only,eq2_only,False,0.6377,0.5667
eq1_only,formal_query,False,0.6522,0.5
eq1_only,countermodel,False,0.6522,0.5583
eq1_only,countermodel2,False,0.6522,0.5097
eq1_only,separate,False,,
eq2_only,raw,False,0.7391,0.6347
eq2_only,natural,False,0.7391,0.6639
eq2_only,conjoined,False,0.6522,0.675
eq2_only,eq1_only,False,0.6087,0.5153
eq2_only,eq2_only,True,0.9855,0.9889
eq2_only,formal_query,False,0.6522,0.5
eq2_only,countermodel,False,0.7101,0.6319
eq2_only,countermodel2,False,0.3623,0.5111
eq2_only,separate,False,,
formal_query,raw,False,0.6232,0.6819
formal_query,natural,False,0.5507,0.6458
formal_query,conjoined,False,0.3478,0.5
formal_query,eq1_only,False,0.3623,0.5111
formal_query,eq2_only,False,0.3913,0.5333
formal_query,formal_query,True,1.0,1.0
formal_query,countermodel,False,0.6522,0.5
formal_query,countermodel2,False,0.8116,0.7875
formal_query,separate,False,,
countermodel,raw,False,0.8406,0.7903
countermodel,natural,False,0.6812,0.7361
countermodel,conjoined,False,0.4638,0.5889
countermodel,eq1_only,False,0.5362,0.6347
countermodel,eq2_only,False,0.5217,0.5944
countermodel,formal_query,False,0.6522,0.5
countermodel,countermodel,True,1.0,1.0
countermodel,countermodel2,False,0.5942,0.6694
countermodel,separate,False,,
countermodel2,raw,False,0.3478,0.5
countermodel2,natural,False,0.3478,0.5
countermodel2,conjoined,False,0.3478,0.5
countermodel2,eq1_only,False,0.3478,0.5
countermodel2,eq2_only,False,0.3478,0.5
countermodel2,formal_query,False,0.6522,0.5
countermodel2,countermodel,False,0.6522,0.5
countermodel2,countermodel2,True,1.0,1.0
countermodel2,separate,False,,
separate,raw,False,,
separate,natural,False,,
separate,conjoined,False,,
separate,eq1_only,False,,
separate,eq2_only,False,,
separate,formal_query,False,,
separate,countermodel,False,,
separate,countermodel2,False,,
separate,separate,True,1.0,1.0
