split,template,group_by,n_groups,acc,bacc,auc
normal,raw,eq1,906,0.852,0.8523,0.9337
normal,natural,eq1,906,0.855,0.8548,0.9327
normal,conjoined,eq1,906,0.86,0.86,0.935
normal,eq1_only,eq1,906,0.878,0.8777,0.9513
normal,eq2_only,eq1,906,0.535,0.5357,0.5435
normal,formal_query,eq1,906,0.871,0.8708,0.947
normal,countermodel,eq1,906,0.861,0.8611,0.9409
normal,countermodel2,eq1,906,0.859,0.8591,0.9385
normal,separate,eq1,906,0.875,0.874,0.9491
